,sr_id,closed_deals_by_sr,number_of_segments
0,060c0a26f19f4d66b42e0d8796688490,32,17
1,068066e24f0c643eb1d089c7dd20cd73,27,12
2,0a0fb2b07d841f84fb6714e35c723075,1,2
3,2695de1affa7750089c0455f8ce27021,58,21
4,34d40cdaf94010a1d05b0d6212f9e909,10,10
5,495d4e95a8cf8bbf8b432b612a2aa328,63,21
6,4b339f9567d060bcea4f5136b9f5949e,9,8
7,4ef15afb4b2723d8f3d81e51ec7afefe,133,28
8,56bf83c4bb35763a51c2baab501b4c67,24,15
9,6565aa9ce3178a5caf6171827af3a9ba,74,24
10,6aa3b86a83d784b05f0e37e26b20860d,1,2
11,85fc447d336637ba1df43e793199fbc8,64,23
12,9749123c950bf8363ace42cb1c2d0815,7,6
13,9ae085775a198122c5586fa830ff7f2b,51,18
14,9d12ef1a7eca3ec58c545c678af7869c,6,6
15,9e4d1098a3b0f5da39b0bc48f9876645,24,13
16,a8387c01a09e99ce014107505b92388c,26,17
17,b90f87164b5f8c2cfa5c8572834dbe3f,1,2
18,c638112b43f1d1b86dcabb0da720c901,36,19
19,d3d1e91a157ea7f90548eef82f1955e3,82,27
20,de63de0d10a6012430098db33c679b0b,53,17
21,fbf4aef3f6915dc0c3c97d6812522f6a,59,19
